Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
10/09/1984,,"Fort Franklin, Canada",Nahanni Air Services,,Fort Norman - Fort Franklin,de Havilland Canada DHC-6 Twin Otter 100,C-FPPL,115,7,7,0,Struck a tower while on approach in fog.  Weather was below VFR minima and not reported to the pilot because of a lack of observation and communications facilities at Fort Franklin. The decision of the pilot to continue the approach in fog.
10/11/1984,05:40,"Near Omsk, Russia",Aeroflot,3352,Krasnodar - Omsk,Tupolev TU-154B,CCCP-85243,243,179,174,4,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway."
10/11/1984,17:37,"Goose Bay, Newfoundland, Canada",Labradore Airways,,St. Anthony - Goose Bay,de Havilland Canada DHC-6 Twin Otter 100,C-FAUS,34,4,4,0,The air ambulance struck a mountain in near zero visibility and snow bounced twice and came to rest in a canyon. The VFR flight was attempted in mountainous terrain in marginal weather conditions. The aircraft was flown at an altitude which did not provide terrain clearance and the aircraft struck amountain for undetermined reasons.
10/27/1984,,"Near Kabul, Afghanistan",Mililtary - Soviet Air Force,,,Ilyushin IL-76M,CCCP-86739,083412354,20,20,0,Shot down by enemy fire.
10/28/1984,,"Near Kabul, Afghanistan",Military - Russian Air Force,,,Antonov AN-22,CCCP-08837,7340106,240,240,0,Shot down by Afghan rebels shortly after taking off. Worst single military aircraft disaster in history.
10/31/1984,,"Off Davao, Philippines",Village Airways,,Davao - Manila,Douglas C-47B,RP-C138,20811,4,4,0,The cargo plane went missing in the PacifiOcean while en route.
11/19/1984,,"Inverness, England",Euroair,,,Embraer 110P1 Bandeirante,G-HGGS,110294,1,1,0,"Crashed into a 1,600 ft. hill after taking off from Inverness."
11/20/1984,,"Loja, Peru",TAME,,Loja - Zumba,de Havilland Canada DHC-6 Twin Otter 300,FAE-446,446,14,14,0,Crashed into high terrain.
12/04/1984,,"Near Kostroma, USSR",Aeroflot,,,LET 410 M,CCCP-67225,770706,10,10,0,
12/06/1984,18:14,"Jacksonville, Florida",Provincetown - Boston Airlines,1039,Jacksonville - Tampa,Embraer 110P1 Bandeirante,N96PB,110-365,13,13,0,"After taking off, the aircraft went into a steep dive, crashed and burned 7,800 ft. beyond the departure end of the runway. Malfunction of the elevator control system or elevator trim system. The reaction of the flight crew to correct the pitch control problem overstressed the left elevator control rod, which resulted in asymmetrical elevator deflection and overstress failure of the horizontal stabilizer attachment structure."
03/22/1986,,"Jammuin, India",Military - Indian Air Force,,,Antonov An-32,,,19,19,0,
12/17/1984,23:00,"Bainbridge, New York",Air Taxi - Delaware Aviation LLC,,"Binghamton, NY - Bainbridge, NY",PA-23-250,N6099Y,,4,4,0,"VFR conditions prevailed when the fight departed. The destination was reported as clear until just prior to the estimated time of arrival, then fog began to form. Witnesses who heard the aircraft, just prior to the accident, reported heavy fog. After making an approach to Rwy 7, the aircraft turned to a heading of about 220 deg, then collided with trees on a wooded hill, .85 mi north of the airport. Continued VFR flight into adverse weather conditions."
12/19/1984,14:00,"Near Jaen, Peru",Fuerza Aérea del Peru,,,de Havilland Canada DHC-6 Twin Otter 300,FAP-307,317,21,21,0,"Crashed in flames, two minutes after taking off from a military base."
12/22/1984,,"Near Bhojpur, Nepal",Royal Nepal Airlines,,,de Havilland Canada DHC-6 Twin Otter 300,9N-ABH,376,23,15,0,Crashed into mountain in poor weather off the intended course.
12/23/1984,18:10,"Near Kranoyarsk, Russia",Aeroflot,3519,,Tupolev TU-154B-2,CCCP-85338,338,110,110,0,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.
01/01/1985,20:30,"Near La Paz, Bolivia",Eastern Air Lines,980,"Asuncion, Paraguay - La Paz, Bolivia",Boeing B-727-225 Adv,N819EA,22556/1793,29,29,0,"The aircraft hit Mt. Illimani at an altitude of 19,600 feet after being cleared to descend during an approach to La Paz. The crew did not follow the prescribed airway. Navigation error. Controlled flight into terrain."
01/09/1985,07:00,"Kansas City, Kansas",TPI International Airways,,Detroit - Kansas City,Lockheed L-188AF Electra,N357Q,1044,3,3,0,The cargo plane executed a missed approach because it was too high. The copilot mistakenly lined up with nearby Fairfax Airport to land. The captain took over and entered a steep climb for a go-around. The plane stalled and entered a dive and crashed into a water treatment plant. Improper IFR procedure. Airspeed not maintained which led to an inadvertent stall.
01/18/1985,,"Jinan, China",CAAC,5109,Nanjing - Jinan,Antonov AN-24B,B-434,27308110,41,38,0,Crashed after overshooting the runway in rain and fog.
01/19/1985,08:22,"Havana, Cuba",Cubana de Aviacion,,Havana - Managua,Ilyushin IL-18D,CU-T899,188011102,38,38,0,The airliner crashed after takeoff. Failure of the artificial horizon and obstruction of aileron control due to shifted cargo.
01/20/1985,23:15,"Carson, New Mexico",Air Taxi,,"Albuquerque, NM - Taos, NM -",Bell 206 L-1,N40TE,,3,3,0,The helicopter crashed in open terrain during a turn to reverse direction. Witnesses stated the aircraft was heading north and was on a converging course with high tension lines that were about 80 to 100 ft high and the belly counted spotlight was illuminated when it passed overhead. The helicopter impacted snow covered terrain in a steep descending bank to the right at a high rate of speed on a southerly heading. The power lines showed no evidence of having been struck. Pilot did not maintain directional control.
01/21/1985,01:04,"Reno, Nevada",Galaxy Airlines,203,"Reno, NV - Minneapolis-St. Paul, MN",Lockheed L-188A Electra,N5532,1121,71,70,0,"The aircraft crashed while returning to the airport after reporting severe vibrations. While attempting to land, the aircraft crashed into a  field, bounced and slid into mobile homes. A ground handler forgot to close an air start access door. The crew's failure to control and monitor the flight path and air speed of the aircraft after detecting the vibration."
01/22/1985,09:35,"Off Puerto Castilla, Honduras",Military - U.S. Air Force,,Howard AFB - Trujillo AP,Lockheed C-130A,56-0501,3109,21,21,0,"Crashed into the Caribbean sea, 8 miles northwest of the airport where it was scheduled to land."
01/23/1985,10:35,"Near Buga, Colombia",AIRES Colombia,,Florencia - Cali,Embraer 110P1 Bandeirante,HK-2638,110341,17,17,0,"The aircraft crashed into a mountain at 8,500 ft. while descending to land at Buga. Continued VFR flight into deteriorating weather conditions."
01/23/1985,10:35,"Cerro el Plateado, Colombia",Aerolineas Centrales de Colombia,,Medellin - Quibdo,de Havilland Canada DHC-6 Twin Otter 300,HK-1910,497,23,23,0,"Crashed into a mountain at 11,500 ft.  In rainand fog.  Flying under VFR when conditions changed to IFR."
02/01/1985,20:25,"Whitefield, New Hampshire",Air Taxi - Air Trends Inc.,,"Burlington, VT - Whitefield, NH",Piper PA-31-350,N27522,,5,4,0,The aircraft crashed after executing a missed approach at Whitefield during IMC weather. The aircraft was seen at 300-400 ft agl during some part of the maneuvering near the airport. The aircraft seemed to be heading for the airport when last seen by ground observers. Fuel starvation. Fuel tank selector in wrong position.
02/01/1985,,"Minsk, Belarus, USSR",Aeroflot,,Minsk - Leningrad,Tupolev TU-134A,CCCP-65910,63971,80,58,0,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.
02/04/1985,19:51,"Soldotna, Alaska",North PacifiAirlines,-,"Anchorage, AK - Anchorage, AK",Beech Queen Air 65-A80,N50NP,LD-231,9,9,0,Crashed into trees while attempting a go-around in poor weather. Improper minimum descent atlitiude and missed approach. Improper inflight decision. Improper missed approach. Minimum descent altitude not maintained.
02/06/1985,0943,"Altus, Oklahoma",Air Taxi - Oklahoma Airways Inc.,,"Altus, OK - Oklahoma City, OK",Cessna 402B,N5780M,,2,2,0,"A witness saw smoke & fire trailing from the vicinity of the l eng. He stated that the aircraft's nose came up, the plane rolled to the left, then it entered a steep, nose down, inverted attitude just before it crashed & burned. Total failure of the exhaust manifold system. Inadequate inspection/maintenance."
10/18/1989,,"Nasosny, Russia",Military - Russian Air Force,,,Ilyushin IL-76MD,CCCP-76569,33448421,57,57,0,Crashed into the Caspian sea after reporting an engine fire.
02/09/1985,12:48,"Central Point, Oregon",Air Taxi - Mercy Flights Inc.,,"Gold Beach, OR - Metford, OR",Gulfstream AC-680F,N233W,,4,4,0,The pilot reported loss of power in both engines. Witness saw the aircraft gilding wings level towards the runway when a loud rev was heard. The aircraft then pitched up and rolled left to an inverted position before ground contact and explosion. Misjudged emergency procedure. Airspeed not maintained. Directional control not maintained. Throttle/power control not corrected.
02/16/1985,,"Banjarmasin, Indonesia",Dirgantara Air Services,,,Britten-Norman BN-2A Islander,PK-VIO,693,10,9,0,Struck a mountain in poor weather conditions.
02/19/1985,09:27,"Near Durango, Vizcaya, Spain",Iberia Airlines,610,Madrid - Bilbao,Boeing B-727-256,EC-DDU,21777/1487,148,148,0,The aircraft crashed into an antenna on Mt. Oiz. Incorrect interpretation of Ground Proximity Warning System. The captain was heard shouting 'shut up' at the GPWS as it announced 'pull up.'  Overconfidence in altitude alert system. Incorrect interpretation of its warnings.
02/19/1985,10:15,"300 nm NW of San Francisco, California",China Airlines (Taiwan),006,Taipei - Los Angeles,Boeing B-747-SP-09,N4522V,22805/564,274,0,0,"The aircraft descended in an uncontrolable dive, from 41,000 to 9,500 ft. after the crew shut down an engine.  The captain, preoccupied the malfunctioning engine, didn't properly monitor instruments and over relied on the autopilot and did not use his rudder to keep the plane from rolling . The autopilot disengaged after it could not handle the excessive roll caused by the shut down engine. The captain failed to make the proper flight corrections to recover the aircraft. After a terrifying series of inadvertent aerobatics, the plane leveled off at 9,500 feet and managed to land safely at San Francisco. Forces during the inverted spin were estimated to be from +6G to -4G. The landing gear was forced out through the closed doors, breaking the doors, which flew back and took out part of the rudder and elevator."
02/22/1985,,"Timbuktu, Mali",Air Mali,,Tombouctou - Bamako,Antonov AN-24V,TZ-ACT,87304104,51,50,0,Crashed after taking off. The plane was not able to return to the airport after experiencing an engine failure.
02/25/1985,,"Near Valdez, Alaska",Military - U.S. Air Force,,,Boeing RC-135T,55-3121,17237/4,3,3,0,Struck a mountain in poor weather.
03/12/1985,,"Fort Hood, Texas",Military - U.S. Air Force,,Training,Lockheed C-130E Hercules,64-0549,4044,6,6,0,Stalled during a training exercise and crashed.
03/28/1985,09:50,"Near Florencia, Colombia",SATENA,,Bogota - San Vicente del Caguán - Florencia,Fokker F-28 Fellowship 3000,FAC-1140,11165,46,46,0,The domestiflight crashed into a mountain while attempting to land at Florencia in rain and fog.
04/11/1985,,"Salta, Argentina",YPF,,Buenos Aires - Salta,HS-125-700B,LV-ALW,257133,7,7,0,After an aborted landing attempt the aircraft struck a mountain in poor weather conditions.
04/13/1985,19:40,"Athens, Louisiana",Air Taxi - Eidoarie Inc.,,"El Dorado, AR - Houston, TX",Cessna 320B,N3RU,,4,4,0,Crashed on a dark night while en route to Shreveport. Reason for occurrence unknown. Possible loss of DC power causing the pilot to lose control of the aircraft during a dark night and turbulent instrument flight.
04/15/1985,23:30,"Near Phuket, Thailand",Thai Airways,,,Boeing B-737-200,HS-TBB,21810/604,11,11,0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.
04/16/1985,11:37,"Las Cruces, New Mexico",American Airlines,,"Dallas, TX - San Diego, CA",Boeing B-727-227,N718AA,20611/894,89,0,0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.
04/19/1985,00:00,"Tuba City, Arizona",Air Taxi - Monument Valley Air Service,,"Tuba City, AZ - Page, AZ",Cessna U206G,N8849Q,,6,6,0,Medical transportation flight during the early morning hours in marginal weather conditions. The flight was not completed and was returning to the departure airport when it descended into desert terrain 10 miles short of its destination. Flight into known adverse weather.
04/20/1985,,"Kulusuk, Greenland",Aeronica,,Positioning,Fokker F-27 Friendship 100,YN-BZF,10118,5,2,0,After a fuel transfer problem the plane crashed while trying to make an emergency landing in snow. Poor weather and failure of the crew to follow proper procedures with the auxiliary fuel system.
04/20/1985,,"Santa Rosa, Bolivia",Carga Aereo Transportada,,,Convair CV-440,CP-1489,319,4,4,0,The cargo plane lost an engine on talkeoff nosed down and crashed.
05/03/1985,12:00,"Near L'vov, Ukraine, USSR",Aeroflot / Soviet Air Force,,Tallin - L'vov,Tupolev TU-134A / Antonov An-26,CCCP65856/26492,23253 /,76,76,0,Midair collision as the Tupolev-134A prepared to land and the Antonov An-26 just took off.  Violations by the civil approach and military controllers. Misidentification of both aircraft. Seventy-one killed on the TU134 and twenty-three on the Antonov.
05/06/1985,12:50,"Off Tanegashima, Japan",Military - U.S. Marine Corps,,"Iwakuni - Fulemma, Okinawa",CH-53D,,,17,17,0,The helicopter crashed into the East China Sea.
05/15/1985,,"Vilanculos, Mozambique",Empresa Nacional de Transp.  Trabalho Aereo,,,Britten-Norman BN-2 Islander,C9-AMV,219,5,5,0,Crashed while attempting an emergency landing along a beach.
05/16/1985,13:45,"Golovin, Alaska",Air Taxi,,"Golovin, AK - Elim, AK",Cessna C-207A,N73635,,5,2,0,"According to the pilot-in-command, he was attempting to fly through a mountain saddle. As he turned towards the mountain and began his climb the weather deteriorated rapidly with ceilings zero, visibility zero and severe turbulence. The airplane struck the side of a 1,707 foot high mountain at the 1,590 foot level on a magnetiheading of 015 degrees. The pilot-in-command stated that just prior to impact he could not see anything. Continued VFR flight into IMC. Poor judgement. Improper planning."
05/21/1985,20:15,"Harrison, Arkansas",Acme Air,,"Branson, MO - Harrison, AR",Cessna 501 Citation I,N10GE,501-0022,2,2,0,The plane struck a mountain while on approach. Improper IFR procedure. Improper use of navigational instruments. Low ceiling and rain.
05/28/1985,,"Cabimas, Venezuela",Avensa,,,Convair CV-580,YV-84C,157,13,2,0,"The aircraft's tail struck a hill 1,500 feet from the end of the runway after which an emergency crash landing was made."
05/31/1985,23:00,"Nashville, Tennessee",General Aviation Inc.,115,Nashville - Indianapolis,Grumman G-159 Gulfstream I,N181TG,181,2,2,0,The cargo plane crashed after losing the No. 1 engine. Fuel starvation. Pilot had the fuel selector for the No. 1 engine in the off and feathered position.
06/14/1985,,"Athens, Greece",Trans World Airlines,847,Athens - Rome,Boeing B-727-231,N64339,20844/1065,153,1,0,The aircraft was hijacked while en route from Athens to Rome over Italian airspace. U.S. Navy diver Robert Stethem was murdered aboard.
06/23/1985,,"Juara, Brazil",TABA,,Juara - Cuiaba,Embraer 110P Bandeirante,PT-GJN,110-063,17,17,0,The plane stalled and crashed into an emergency vehicle while making an emergency landing attempt after an engine caught fire. A faulty fuel injection nozzle caused a blow torch effect damaging the compressor turbine vane ring and causing thermal fatigue and loss of one of the turbine blades.The resulting imbalance ruptured the starting control bypass fuel return line.
06/23/1985,07:15,"AtlantiOcean, 110 miles West of Ireland",Air India,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,329,329,0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'"
06/28/1985,,"Charlotte, North Carolina",Air Taxi,,,Piper PA-42,N542TW,,2,2,0,The aircraft collided with trees and a pole short of the runway during a night VFR approach to land.  Poor VFR procedures. Overconfildence in personal ability. Poor judgement. Proper altitude not maintained. Exceeded proper descent rate.
07/10/1985,23:45,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,7425,Karshi - Leningrad,Tupolev TU-154B-2,CCCP-85311,311,200,200,0,The aircraft went into an uncontrolled descent from FL 400 and crashed.
07/19/1985,03:43,"Near Erie, Pennsylvania",Air Ohio - Air Taxi,21,"Louisville, KY - Cleveland, OH",Aerostar 601,N71MA,,2,2,0,"During a normal IFR cruise flight, the pilot of air Ohio flight 21, did not respond to ATC instructions. Air Ohio flight 21 continued for 40 minutes with no reply and without deviation in altitude or heading until the discrete target disappeared from radar over Lake Erie. The pilot had not slept for approximately 30 hours prior to the loss of communication response."
07/24/1985,17:00,"Leticia, Colombia",Fuerza Aérea Colombiana,,Leticia - Bogota,Douglas DC-6B,FAC-902,45067/709,80,80,0,"Crashed into the Amazon jungle in poor weather, after the crew reported a fire in the No. 3 engine. The last words from the aircraft was 'We're falling.'"
08/02/1985,18:06,"Ft. Worth-Dallas, Texas",Delta Air Lines,191,Fort Lauderdale - Dallas-Fort Worth,Lockheed L-1011-1 TriStar,N726DA,1163,163,134,1,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear."
08/12/1985,18:56,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,123,Tokyo - Osaka,Boeing B-747-SR46,JA8119,20783/230,524,520,0,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident."
08/12/1985,,"Mulia, Indonesia",Merpati Nusantara Airlines,,,de Havilland Canada DHC-6 Twin Otter 300,PK-NUG,346,19,8,0,
08/15/1985,,"Aden, Yemen",Alyemda Airlines,,Aden - Abu Dahbi,Boeing 707-336C,7O-ACO,20374/838,73,3,0,"As the plane reached FL230, water was spilled on the autopilot panel and the crew had to disengage the autopilot because the stabilizer trim wheel started to rotate. Control was lost as the plane pitched up and down. Control was regained at 1,000 ft. and an emergency landing was carried out."
08/20/1985,02:05,"Gulkana, Alaska",Air Taxi - Jet Alaska,,"Anchorage, AK - Gulkana, AK",Learjet 24D,N455JA,,3,3,0,"During a night arrival, the flight was on an instrument approach to the Gulkana Airport when radio contact with the aircraft was lost. Search was initiated & the wreckage was found 7.4 mi north of the terminal VORr on the 330 deg radial.  Improper IFR procedure. Minimum descent altitude not maintained."
08/22/1985,06:13,"Manchester, England",British Airtours,28M,Manchester - Kerkira,Boeing B-737-236,G-BGJL,22033/743,137,55,0,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxismoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft to starboard, sideways to a prevailing wind, all helped to feed the flames. The aircraft was named 'River Orrin.'"
08/25/1985,22:05,"Auburn, Maine",Bar Harbor Airlines,1808,"Boston, MA - Auburn, ME",Beechcraft 99,N300WP,U-22,8,8,0,"While on approach, ATC noticed the flight was east of course and the crew was given instructions to correct.   The crew then tried, unsuccessfully to intercept the glideslope. The plane struck trees and crashed short and right of the runway centerline. The pilot's continuation of an unstabilized approach which resulted in a descent below glideslope. Improper IFR procedure by pilot. Missed approach not performed. Decision height not identified. Samantha Smith, 13, along with her father were killed. She became famous for writing to Soviet leader Yuri Andropov about her fear of nuclear war. She later visited him in Moscow."
08/27/1985,,"Beale AFB, California",Military - U.S. Air Force,,Training,Boeing KC-135A,59-1443,17931,7,7,0,Crashed while trying to land with 3 engines.
08/30/1985,,"Kokoda, Papua New Guinea",Douglas Airways,,,Britten-Norman BN-2A Islander,P2-DNW,67,5,3,0,
09/04/1985,11:00,"Near Kandahar, Afghanistan",Ariana Afghan Airlines,,Kandahar - Farah,Antonov AN-26,YA-BAM,57314106,52,52,0,Shot down by rebels with a ground-to-air missile while flying at FL130.
09/06/1985,15:21,"Milwaukee, Wisconsin",Midwest Express,105,Milwaukee - Atlanta,McDonnell Douglas DC-9-14,N100ME,47309/393,31,31,0,The aircraft stalled and dove into the ground as it  took off.  Failure of right engine after compressor spacer failure precipitated by a fatigue crack. The crew's improper use of flight controls in response to the catastrophifailure of the right engine during a critical phase of flight which led to an accelerated stall and loss of control of the airplane. Contributing to the loss of control was a lack of crew coordination in response to the emergency.
09/22/1985,,Afghanistan,Military - Soviet Air Force,,,Antonov AN-12,,,26,26,0,Shot down by Afghan rebels.
09/23/1985,10:20,"Grottoes Grove, Virginia",Air Taxi - Henson Airlines,1517,"Washington D.C. Baltimore, MD",Beechcraft B99,N339HA,U156,14,14,0,"The aircraft hit a mountain while on approach in level flight at an altitude of 2,400 feet. Navigational error by the crew resulting from their use of the incorrect navigational facility and their failure to adequately monitor the flight instruments. Improper IFR procedure. Lack of proper radio equipment. Playwright, Larry Shue, 39, killed."
09/25/1985,,"Near Kharkov, Ukraine",MAP,,Dnepropetrovsk - Moscow,Antonov An-12,CCCP-69321,1901708,9,9,0,The plane crashed en route after a fire in the No. 1 engine which led to the seperation of the outer wing.
09/29/1985,12:30,"Jenkinsburg, Georgia",Air Carriers Express Services Inc,,Parachuting,Cessna 208 Caravan I,N551CC,208-00017,17,17,0,Lost power and spiraled into the ground after takeoff. Contaminated fuel. Overloaded.
10/04/1985,,"Tory Canal, New Zealand",Air Albatross,,,Cessna 402B,ZK-EHT,402B-0304,9,8,0,Crashed into power lines.
10/09/1985,19:00,"Vitória da Conquista, Brazil",Nordeste Linhas Aéreas,,,Embraer 110C Bandeirante,PT-GKA,110090,2,2,0,The pilot of the cargo plane stayed at a low altitude after taking off in IMC conditons and crashed.
10/10/1985,1:00,"Off South Head, Australia",Pel Air,,Sidney - Brisbane,IAI 1124 Westwind,VH-IWJ,371,2,2,0,"After attaining 5,000 ft. the cargo plane lost control crashed into Botany Bay after taking off from Sydney."
10/11/1985,,"Near Beni, Bolivia",Sabeni,,Beni - La Paz,Curtiss C-46D,CP-1593,32936,2,2,0,Crashed into mountains while en route.
10/11/1985,10:09,"Near Kutayissi, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87803,9230923,14,14,0,Crashed into a mountain slope after taking off in bad weather. Instructions to climb normally were delayed because of traffic.
10/11/1985,21:40,"Homer City, Pennsylvania",Mountain Air Cargo,,State College - Pittsburgh,de Havilland Canada DHC-6 Twin Otter 200,N3257,192,1,1,0,The cargo plane struck high ground while en route. Pilot error. Altitude not maintained. Improper clearance.
10/12/1985,,"Putao, Myanmar",Burma Airways,,,Fokker F-27 Friendship 600,XY-ADS,10501,4,4,0,The cargo plane overfew the runway and crashed one mile beyond the end.
10/22/1985,20:45,"Near Juneau, Alaska",Jet Alaska,,Anchorage - Juneau,Learjet 24XR,N456JA,24-265,4,4,0,"The air ambulance crashed into a mountain at 3,500 ft. while attempting to land. Crew became lost and disoriented and made a premature descent."
11/01/1985,09:50,"Bethel, Alaska",Air Taxi- Hermans Air Inc.,,"Bethel, AK - Chevak, AK",Cessna 208,N9241F,208-00006,4,2,0,A total loss of power was experienced on takeoff due to the fuel selectors being in the off position. The pilot attempted to restart the engine during which time the aircraft entered a stall and collided with the terrain. Checklist not used. Fuel tank selector in wrong position.
11/15/1985,,"Dothan, Alabama",Military - U.S. Air Force,,Test flight,Convair CV-340,54-2817,221,4,4,0,Crashed during a test flight.
11/16/1985,,"Quinhagaki, Alaska",Air Taxi,,"Bethel, AK - Quinhagaki, AK",Piper PA-32-300,N74DJ,,7,4,0,The aircraft crashed on the frozen level tundra at night while on a part 135 air taxi flight. The investigation revealed the commercial rated air taxi pilot did not have a 135 air taxi check ride or competency check. The pilot's certificate prohibited him to carry passengers for hire at night or more than 50 mile cross country flight. At time of the accident the weather was below VFR conditions and the pilot did not receive a weather briefing. Continued VFR flight into IMC.
11/21/1985,,"Near Sibyak, Indonesia",Military - Indonesian Air Force,,,Lockheed C-130H Hercules,A-1322,4898,11,11,0,Crashed into a mountain.
11/24/1985,20:15,"Luqa, Malta",EgyptAir,648,Athens - Cairo,Boeing B-737-266,SU-AYH,21191/450,103,60,0,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire."
11/25/1985,,"Near Luassingua, Angola",Military - Angolan Air Force,,,Antonov AN-26,,,22,22,0,Shot down by South African anti-aircraft fire.
12/12/1985,06:45,"Gander, Newfoundland, Canada",Arrow Airways,MF1285R,"Gander - Fort Campbell, KY",McDonnell Douglas DC-8 Super 63PF,N950JW,46058/433,256,256,0,"The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft."
12/30/1985,,Nepal,Military - Royal Nepalese Air Force,,,Short SC7- Skyvan,RAN-23,SH-1978,25,25,0,
12/31/1985,17:14,"De Kalb, Texas",Private,,Guntersville - Dallas/Ft. Worth,Douglas DC-3,N711Y,13658,9,7,0,"The plane crash landed into a field and struck a pole then continued into trees after dense smoke filled the plane and cockpit. The fire most likely started in a defective cabin heater but was not determined for sure. Singer Rick Nelson, 45, fiancée Helen Blair, 27, soundman Clark Russell and the members of his back-up group The Stone Canyon Band, Andy Chapin, 20, Rick Intveld, 22, Bobby Neal, 38, and Patrick Woodward, 35 were killed. Both pilots survived after climbing out the cockpit windows. Nelson had purchased the DC-3 in May 1985 from Jerry Lee Lewis and the craft had been forced to make two emergency landings in the previous six months. Nelson and his band were en route to perform at the half-time festivities at the Cotton Bowl."
01/18/1986,08:00,"Near Peten, Guatemala",Aerovias de Guatemala SA,,Guatemala City - Flores,Sud-Aviation  Caravelle VI-N,HC-BAE,040,87,87,0,"After initiating an overshoot and attempting to land for a second time, the plane crashed into a hilly area in the jungle. There were low lying clouds in the area."
01/21/1986,04:25,"Ellendale, Minnesota",Air Taxi,,,Bell 296B,N1498W,425,3,3,0,"The purpose of the flight was to take a news crew to a location to cover a story. The news crew had attempted to hire another helicopter, but that operator refused due to forecast low visibility. This pilot, however, agreed to fly. Although he was certified for instrument flight in airplanes, the pilot was not qualified for instrument flight in helicopters, nor was the helicopter certified for instrument flight. The helicopter crashed & burned approximately 100' from the highway near a power line crossing. Impact occurred while the helicopter was in a shallow descent, heading away from the highway & parallel with the power line. Continued VFR flight into IMC. Overconfidence in personal ability."
01/28/1986,07:45,"Sao Paulo, Brazil",VASP,,Sao Paulo - Belo Horizonte,Boeing B-737-2A1,PP-SME,20096/190,72,1,0,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.
01/29/1986,,"Las Lomitas, Mexico",Aerocalifornia,,Villa Constitucion - Los Mochis,Douglas DC-3A-178,XA-IOR,1547,21,21,0,The plane tried to land at Los Mochis but had to divert to Las Lomitas because of fog. The airport was not approved for commercial flights and the plane crashed into a hill near the airport while attempting to land.
02/05/1986,,"Kasongo, Zaire",GLM Aviation,,,Lockheed L-188AF Electra,9Q-CWT,1045,14,2,0,Crashed while attempting to make a forced landing.
02/16/1986,,"Off Makung, Taiwan",China Airlines (Taiwan),,Taipei - Makung,Boeing B-737-281,B-1870,20226/168,13,13,0,The aircraft crashed into the sea during an attempted go-around after a missed landing attempt due to a burst nose gear tire.
03/02/1986,03:03,"Near Bugulma, Russia",Aeroflot,,,Antonov AN-24B,CCCP-46423,07304108,38,38,0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather."
03/03/1986,,"Bern, Switzerland",Taxair,,,Cessna 425 Conquest,HB-LLS,,8,8,0,
